id	Grade	Score	Absence	Time	Start	Sub	Quiz	Order
1	C	176	0	2407	46	40	2	17
2	C	181	0	23123	48	36	2	14
3	B	191	0	26763	56	31	2	43
4	C	169	1	817	30	26	2	15
5	C	156	0	5985	34	34	2	33
6	C	185	0	998	25	21	2	5
7	B	189	0	4176	37	33	2	2
8	B	195	1	232	30	30	2	45
9	C	177	0	9681	31	28	2	6
10	B	195	1	1058	37	33	2	12
11	B	167	0	1056	32	30	2	9
12	B	169	0	2689	32	30	2	25
13	C	170	0	1670	34	31	2	3
14	B	197	0	464	31	28	2	29
15	B	199	0	7198	38	35	2	42
16	C	158	5	119	30	31	0	47
17	B	196	0	3873	33	32	2	32
18	B	170	0	1180	33	31	2	16
19	B	173	0	2376	39	34	2	7
20	A	211	1	9997	39	33	2	18
21	B	191	0	577	35	32	2	23
22	B	189	0	197	33	33	2	21
23	B	187	1	902	38	34	2	28
24	B	197	0	158	32	28	2	40
25	B	190	0	5368	39	31	2	46
26	B	202	1	2922	34	32	2	39
27	C	157	1	237	30	25	2	30
28	B	198	1	608	33	41	2	31
29	C	179	1	273	30	29	2	35
30	C	159	1	2973	34	30	2	26
31	A	212	0	12363	37	32	2	1
32	F	6	0	383	2	1	1	34
33	B	176	0	1192	39	33	2	8
34	B	183	0	2059	35	31	2	38
35	C	176	0	7516	35	34	2	24
36	C	152	0	21324	40	36	2	11
37	B	176	0	21406	39	35	2	22
38	B	181	0	1028	32	30	2	44
39	C	160	0	212	24	23	2	10
40	B	176	0	895	31	29	2	37
41	B	180	0	257	34	36	2	19
42	C	154	0	443	31	31	2	13
43	B	203	0	8706	43	39	1	40
44	B	192	1	282	29	26	2	27
45	B	190	0	494	32	31	2	36
46	B	192	2	1371	33	30	2	20
47	C	164	0	821	32	30	2	4
